Index,Name,PosX,PosY,Width,Height,Tags
1,Question 1,72.0109,61.4925,328.4993,690.9813,
2,Question 2,70.3927,883.5498,467.6665,1600.4226,
-2,,55.8287,1623.8869,503.2674,126.2214,
3,Question 3,72.82,2606.1483,455.5298,720.1093,
4,Question 4,73.6292,3498.5983,421.5471,657.8077,
5,Question 5,74.4383,4332.7923,419.1198,508.1221,
6,Question 6,73.6292,5213.9148,440.1567,716.1866,
