Index,Name,PosX,PosY,Width,Height,Tags
1,Question 1,33.068,185.7439,522.7564,142.8258,
2,Question 2,32.3645,334.1982,524.8671,154.083,
3,Question 3,32.3645,495.317,526.2743,239.9192,
4,Probleme V200,26.7359,1049.0307,533.31,584.5118,
