Index,Name,PosX,PosY,Width,Height
1,Question 1,17.1305,56.286,532.27,1194.8543
-1,,10.4007,776.9918,565.9192,107.6776
-1,,541.447,872.4333,33.0374,28.143
2,Question 2,18.3541,1250.5285,561.6366,1256.3258
-2,,73.8364,1231.6695,30.4175,25.6565
-2,,4.925,1610.5346,616.3319,125.2364
-2,,534.0136,1740.696,35.1788,30.2537
3,Question 3,14.0715,2599.7614,555.1209,1187.635
-3,,6.3322,3368.0656,586.0782,90.7612
-3,,540.4409,3453.9018,43.5265,34.9753
-3,,548.6955,2594.1923,31.9202,26.8315
4,Probleme V200,10.5536,3790.4164,569.896,747.9005
-4,,4.2215,4223.1152,583.2639,109.0542
-4,,536.8279,4323.7265,32.3645,28.143
