Index,Name,PosX,PosY,Width,Height
1,Question 1,27.4394,64.0253,546.678,1560.5299
-1,,7.7393,814.7401,579.746,78.8004
-1,,294.798,877.3583,284.948,752.8255
2,Question 2,27.4394,893.5406,554.4173,1435.2935
-2,,21.8108,878.0619,274.3944,802.7794
-2,,557.2316,886.5048,21.8108,26.0323
-2,,16.8858,1670.2877,581.8567,86.5398
-2,,279.3194,1725.1665,309.5731,612.8141
3,Question 3,25.3287,1751.1988,556.528,1486.6545
-3,,24.6251,1728.6844,258.9157,600.8533
-3,,557.2316,1749.7917,21.1073,27.4394
-3,,18.293,2539.2031,580.4496,78.0969
-3,,294.798,2601.1177,299.0195,647.2892
4,Probleme V200,109.0542,3499.5833,463.6561,2285.7406
-4,,96.3898,4245.1977,497.4277,172.3759
-4,,101.3148,5071.8986,501.6492,199.1118
