Index,Name,PosX,PosY,Width,Height
1,Question 1,21.1073,56.286,551.603,648.6964
2,Question 2,28.8466,707.0931,525.5707,1694.9128
-2,,532.6065,874.544,33.7716,41.5109
-2,,14.0715,774.6364,551.603,100.6113
-2,,23.218,1623.1481,541.7529,117.4971
-2,,541.0494,1733.6094,33.7716,31.6609
3,Question 3,30.2537,2392.8595,528.385,1215.7317
-3,,120.4364,2367.8355,32.1817,31.3772
-3,,452.7126,2376.2832,65.5702,41.434
-3,,16.1822,3390.4828,572.0067,82.3183
-3,,541.0494,3462.2475,32.3645,23.9216
-3,,21.8108,2530.7139,564.9709,83.0219
-3,,551.603,2601.775,22.5144,21.8108
4,Probleme V200,35.6009,4357.5796,500.84,667.8991
