Index,Name,PosX,PosY,Width,Height,Tags
1,Question 1,52.5923,86.5749,436.9202,112.4665,
2,Question 2,53.4014,224.933,461.1936,101.1389,
3,Question 3,50.974,351.1544,491.9398,151.3039,
4,Question 4,50.974,531.7012,491.1307,150.4947,
