Index,Name,PosX,PosY,Width,Height,Tags
1,Question 1,56.5464,180.1594,376.7568,88.7647,
2,Question 2,61.149,318.2379,360.3189,64.4366,
3,Question 3,60.4915,429.3581,416.8653,244.9253,
