Index,Name,PosX,PosY,Width,Height,Tags
1,Question 1,52.0646,99.2041,216.7012,58.3967,
2,Question 2,53.4717,166.0438,446.7703,551.603,
3,Question 3,54.1753,728.2004,497.4277,599.4461,
-3,,36.5859,792.9293,526.2743,92.1684,
-3,,527.6814,877.3583,28.143,32.3645,
4,Question 4,43.6217,1336.793,482.6526,783.0793,
-4,,32.3645,1637.9232,550.1959,110.4613,
5,Probleme V200,51.361,2129.0187,518.535,1599.9301,
-5,,30.9573,2506.8386,550.1959,102.0184,
-5,,535.4208,2602.5249,34.4752,30.2537,
-5,,38.6966,3358.1647,553.7137,121.0149,
-5,,529.7922,3458.776,35.8823,33.7716,
