Index,Name,PosX,PosY,Width,Height,Tags
1,Question 1,80.6172,233.8471,449.3981,770.1516,
-1,,69.1821,765.0058,483.7032,169.8107,
2,Question 2,87.4782,1018.8643,444.2523,440.8218,
3,Question 3,84.6195,1819.8906,443.6805,1106.9143,
-3,,79.4737,2375.063,468.8377,282.4461,
4,Question 4,86.3347,2941.0987,441.3935,1226.9825,
-4,,74.3279,3349.3305,488.2773,168.6672,
5,Question 5,86.9065,4377.9146,443.6805,1233.2718,
-5,,80.6172,5060.0162,465.9789,180.674,
6,Question 6,87.4782,5614.6169,442.537,1746.7062,
-6,,78.9019,6727.1403,485.9903,240.1364,
-6,,81.189,5932.975,483.7032,173.2412,
