Index,Name,PosX,PosY,Width,Height,Tags
1,Question 1,81.532,111.7778,414.2352,314.9503,
2,Question 2,80.8745,449.0836,469.4666,1044.1358,
-2,,67.7242,735.1031,487.877,203.1725,
3,Question 3,80.217,1524.1226,395.8248,487.2195,
-3,,74.2993,1604.9971,441.8509,205.1451,
4,Question 4,82.1895,2020.5474,410.2901,452.3712,
5,Question 5,79.5595,2666.2283,444.481,371.4967,
6,Question 6,79.5595,3043.6426,397.1398,563.4914,
-6,,63.1216,3330.9772,451.7137,198.5699,
7,Question 7,82.1895,3612.3942,368.8666,167.0091,
