Index,Name,PosX,PosY,Width,Height
1,Question 1,41.5109,47.1395,128.7543,31.6609
2,Question 2,40.1038,78.0969,471.3954,498.8349
3,Question 3,40.8074,576.9317,524.8671,1239.6996
-3,,26.0323,764.9884,576.9317,62.6182
-3,,536.3398,814.2842,49.0369,33.3081
-3,,25.6958,1550.9696,559.8012,94.2179
-3,,540.2234,1639.6812,39.1555,28.143
-3,,150.3035,1761.524,17,57
-3,,128.5077,1808.3675,19.55,17.94
-3,,170.5977,1810.2075,51.52,20.93
4,Question 4,40.9909,1810.7777,526.7637,229.0237
5,Question 5,43.4381,2040.8162,513.304,879.1632
-5,,23.2486,2404.2281,563.472,47.7208
-5,,548.7887,2440.9364,34.2611,26.9194
6,Probleme V200,48.3326,2949.346,534.1054,872.2398
-6,,33.0374,3195.0979,570.8137,70.9693
-6,,541.447,3238.536,40.3791,40.9909
