Index,Name,PosX,PosY,Width,Height,Tags
1,Question 1,71.8336,197.3535,446.8809,223.0624,
2,Question 2,72.5898,431.758,394.707,114.1777,
3,Question 3,71.0775,547.448,382.6087,174.6692,
4,Probleme V200,52.9301,1089.603,470.3214,1192.4386,
-4,,26.465,1600.7561,561.0586,351.6068,
