Index,Name,PosX,PosY,Width,Height,Tags
1,Question 1,59.8743,185.2865,379.4733,182.8592,
2,Question 2,61.4925,381.0915,508.9312,223.3148,
3,Question 3,67.1563,611.6883,445.0114,546.9594,
-3,,55.0196,733.0551,496.7945,300.9895,
4,Question 4,67.1563,1170.7844,495.1763,256.4884,
