Index,Name,PosX,PosY,Width,Height,Tags
1,Question 1,54.5738,186.0771,487.2195,119.0104,
2,Question 2,54.5738,317.5803,488.5346,107.8327,
3,Question 3,52.6013,435.2757,487.877,78.9019,
4,Question 4,52.6013,523.3829,489.1921,239.9934,
5,Question 5,52.6013,933.0155,484.5895,122.298,
6,Question 6,53.9163,1064.5188,483.2744,408.3176,
