Index,Name,PosX,PosY,Width,Height
1,Question 1,13.7549,55.0196,559.9052,1106.0555
-1,,-22.6551,832.5758,616.543,43.692
-1,,288.8528,863.322,289.6619,313.9353
2,Question 2,12.9458,868.1767,574.4692,1689.4249
-2,,8.9002,855.2309,281.5708,312.3171
-2,,560.8582,870.3711,22.668,30.5324
-2,,3.2364,1686.9976,593.0788,60.4267
-2,,283.189,1727.4532,308.2715,838.2396
3,Question 3,7.282,1739.2532,586.6059,1640.0691
-3,,563.6,1730.3495,21.7746,20.2244
-3,,2.4273,1731.9712,282.3799,826.1029
-3,,0.8091,2511.1456,599.5517,78.4838
