Index,Name,PosX,PosY,Width,Height,Tags
1,Question 1,56.7108,235.1607,487.7127,152.741,systeme_eq
2,Question 2,49.1493,404.5369,505.104,308.5066,probleme
3,Question 3,56.7108,951.9849,490.7372,161.8147,etude_fonction
4,Question 4,54.4423,1144.0454,487.7127,256.3327,etude_fonction graphique
5,Question 5,51.4178,1428.3554,486.9565,143.6673,eq_exponentiel eq_log
6,Question 6,55.1985,1807.1834,494.518,397.7316,probabilites
7,Question 7,51.4178,2218.5255,496.0302,266.9187,probabilites lettres cartes
