Index,Name,PosX,PosY,Width,Height
1,Question 1,32.3645,82.6701,579.0424,1353.6788
-1,,18.293,801.724,606.4819,66.8396
2,Question 2,14.7751,1451.124,578.3389,2039.6647
-2,,4.2215,3425.3561,635.3285,37.2895
-2,,469.9883,3404.2489,53.4717,33.068
-2,,-8.4429,2562.0693,612.1105,30.2537
-2,,9.1465,1701.5968,604.3711,39.4002
-2,,545.9744,1685.4145,40.1038,20.4037
3,Question 3,23.218,3507.6745,569.896,768.3042
4,Probleme V200,59.8039,4378.7006,515.0171,1108.131
-4,,47.1395,5092.1259,543.1601,119.6078
