Index,Name,PosX,PosY,Width,Height,Tags
1,Question 1,68.6104,944.5364,467.1224,125.7857,
2,Question 2,65.7516,1094.3357,473.4117,136.0773,
3,Question 3,67.4669,1248.7091,469.4094,233.2753,
4,Question 4,68.0386,1802.738,467.1224,134.362,
5,Question 5,67.4669,1958.8266,467.1224,140.0795,
