Id,ParentId,Title,CombinedTitle
6653,1928,ECONO_F_FR.pdf,ESC/2005/F/ECONO_F_FR.pdf
6654,1928,EDMU1_ANALYSE_F_DE.pdf,ESC/2005/F/EDMU1_ANALYSE_F_DE.pdf
6655,1928,EDMU1_F_DE.pdf,ESC/2005/F/EDMU1_F_DE.pdf
6656,1928,FRANC_F_FR.pdf,ESC/2005/F/FRANC_F_FR.pdf
6657,1928,HISTO_F_FR.pdf,ESC/2005/F/HISTO_F_FR.pdf
6658,1928,LATIN_F_LAT.pdf,ESC/2005/F/LATIN_F_LAT.pdf
6659,1928,MATHE_F_FR.pdf,ESC/2005/F/MATHE_F_FR.pdf
6660,1928,MUHIS_F_DE.pdf,ESC/2005/F/MUHIS_F_DE.pdf
6661,1928,PHILO_F_DE_FR.pdf,ESC/2005/F/PHILO_F_DE_FR.pdf
6662,1928,PHYSI_F_FR.pdf,ESC/2005/F/PHYSI_F_FR.pdf
1929,1920,2006,ESC/2006
1930,1929,A,ESC/2006/A
6621,1930,"ALLEM-1CA DE (juin 2006), analyse de texte.pdf","ESC/2006/A/ALLEM-1CA DE (juin 2006), analyse de texte.pdf"
6622,1930,"ALLEM-1CA DE (juin 2006), dissertation.pdf","ESC/2006/A/ALLEM-1CA DE (juin 2006), dissertation.pdf"
6623,1930,"ALLEM-1MA DE (juin 2006), analyse de texte.pdf","ESC/2006/A/ALLEM-1MA DE (juin 2006), analyse de texte.pdf"
6624,1930,"ALLEM-1MA DE (juin 2006), dissertation.pdf","ESC/2006/A/ALLEM-1MA DE (juin 2006), dissertation.pdf"
6625,1930,"ANGLA-1CA EN (juin 2006), texte connu.pdf","ESC/2006/A/ANGLA-1CA EN (juin 2006), texte connu.pdf"
6626,1930,"ANGLA-1CA EN (juin 2006), texte inconnu.pdf","ESC/2006/A/ANGLA-1CA EN (juin 2006), texte inconnu.pdf"
6627,1930,"ANGLA-1CA EN (repêchage 2006), texte connu.pdf","ESC/2006/A/ANGLA-1CA EN (repêchage 2006), texte connu.pdf"
