Index,Name,PosX,PosY,Width,Height,Tags
1,Question 1,42.9181,76.6897,531.1993,1421.222,
-1,,26.0323,134.3829,558.6388,149.8615,
-1,,16.1822,827.4045,573.4138,85.1326,
2,Question 2,42.9181,1495.801,524.1636,1413.6488,
-2,,17.5894,1692.8021,555.1209,85.1326,
-2,,32.3645,2456.1812,553.0102,190.6689,
3,Question 2 #2,84.429,5239.5034,410.1844,372.1913,
4,Question 3,39.8249,2909.4498,527.9604,750.5487,
-4,,21.8108,3411.5817,572.0067,238.512,
5,Question 4,40.2461,3660.2577,528.2427,903.8109,
-5,,26.0323,4277.0099,567.0817,85.8362,
6,Probleme V200,57.6932,6128.1405,503.0563,1915.8354,
-6,,337.7161,6086.6296,239.9192,64.7289,
-6,,30.2537,6797.9441,556.528,170.9688,
-6,,33.068,7671.7846,556.528,159.008,
