Index,Name,PosX,PosY,Width,Height,Tags
1,Question 1,42.8263,239.2156,510.8568,201.2837,
2,Question 2,44.0499,466.8069,512.6922,266.135,
3,Question 3,45.2735,944.0145,505.9624,108.2894,
4,Question 4,44.0499,1082.2823,510.245,135.8206,
