Index,Name,PosX,PosY,Width,Height
1,Question 1,61.7391,180.8696,398.2609,1853.913
-1,,46.087,778.2609,493.0435,162.6087
-1,,49.5652,1543.4783,485.2174,246.9565
2,Question 2,64.3478,2041.7391,466.087,1301.7391
-2,,48.6957,2501.7391,503.4783,152.1739
3,Question 3,65,3514.707,474,2210.2344
-3,,47.6371,4941.8526,526.276,310.775
-3,,52.1739,4238.6389,520.983,151.9849
4,Question 4,61.7391,5765.2402,481.7391,1847.5424
-4,,30.4348,6820.6087,530.4348,152.1739
-4,,49.5652,5896.4943,520.8696,218.0275
