Index,Name,PosX,PosY,Width,Height,Tags
1,Question 1,53.2588,988.2469,486.562,309.0326,
2,Question 2,51.2863,1321.6076,490.5071,291.2797,
3,Question 3,53.9163,1848.9356,485.247,251.8287,
4,Question 4,53.9163,2156.6532,487.877,132.1608,
5,Question 5,54.5738,2682.0087,489.1921,297.1973,
6,Question 6,52.6013,2990.3838,491.8221,249.8562,
