Index,Name,PosX,PosY,Width,Height
1,Question 1,80.2076,93.5755,481.2455,2330.2413
-1,,59.1003,1630.8874,517.8314,158.3044
-1,,62.6182,656.4357,510.7956,275.0979
2,Question 2,82.3183,2651.0716,451.6953,2920.5409
-2,,56.286,5007.3451,505.167,232.8834
-2,,66.1361,3985.0503,495.317,394.0021
-2,,71.0611,3254.0356,497.4277,265.2479
3,Question 3,84.429,6103.5154,441.8453,3717.8753
-3,,54.1753,9420.3527,506.5742,126.6435
-3,,68.9504,8564.1016,493.2063,130.1614
-3,,67.5432,7625.5323,486.1705,206.8511
-3,,71.0611,6744.656,491.0955,223.7369
