Index,Name,PosX,PosY,Width,Height,Tags
1,Question 1,29.5882,81.532,564.1489,252.4862,
2,Question 2,26.9582,360.9764,561.5189,1008.6299,
-2,,19.068,770.609,594.3947,92.0523,
-2,,549.6836,857.4012,42.7386,31.5608,
3,Question 3,40.766,1390.6468,537.1908,624.6404,
-3,,26.9582,1664.8311,578.6143,75.6144,
-3,,562.1764,1725.3226,32.2183,27.6157,
4,Question 4,45.3686,2045.533,403.0575,668.694,
-4,,19.7255,2488.0414,437.9058,103.23,
5,Question 5,36.1634,2754.993,468.8091,261.6915,
6,Question 6,53.2588,3048.2931,506.2875,310.3477,
