Index,Name,PosX,PosY,Width,Height
1,Theorie,61.7923,54.4506,326.0918,343.8342
2,Question 1,58.7332,397.673,475.3722,630.7705
-2,,40.9909,756.1905,514.5276,175.5879
3,Question 2,57.5096,1028.4435,323.6446,250.8399
4,Question 3,55.6742,1290.2958,505.9624,1655.5432
-4,,44.0499,1614.5523,532.8818,179.8705
-4,,35.4847,2373.1899,548.1769,283.8773
5,Question 4,61.1805,2963.5813,381.1542,874.2687
-5,,50.7798,3263.9774,471.0895,252.0635
6,Question 5,58.7332,3858.0396,488.22,274.0884
7,Question 6,58.7332,4378.0735,490.0555,578.7671
