Index,Name,PosX,PosY,Width,Height,Tags
1,Theorie,55.8889,185.635,483.9319,278.1294,
2,Question 1,53.9163,474.7267,487.2195,180.1594,
3,Question 2,53.9163,672.6391,487.2195,113.7503,
4,Question 3,51.9438,931.7005,489.8496,90.7372,
5,Question 4,53.9163,1075.039,489.1921,99.9425,
