Index,Name,PosX,PosY,Width,Height,Tags
1,Question 1,68.0965,209.6096,459.6514,539.984,
2,Question 2,71.8205,946.4351,454.3314,1082.6281,
-2,,63.8405,1563.5597,493.6997,246.3178,
3,Question 3,71.2885,2055.6634,458.5874,919.8349,
-3,,52.6684,2238.6727,505.4038,433.5832,
4,Question 4,68.0965,2988.2663,460.1834,649.5769,
-4,,59.5844,3325.5569,488.3797,206.4175,
5,Question 5,70.7565,3650.6113,455.9274,1265.1055,
-5,,38.3043,3856.4968,496.8917,536.792,
6,Question 6,67.0325,5248.7512,460.7154,597.9725,
