Index,Name,PosX,PosY,Width,Height
1,Question 1,27.2212,195.8412,527.0321,208.6957
2,Question 2,24.9527,437.8072,539.1304,236.673
3,Question 3,27.9773,1070.6994,467.2968,124.0076
4,Question 4,26.465,1230.6541,452.9301,85.4442
