Index,Name,PosX,PosY,Width,Height
1,Question 1,54.7826,44.3478,512.1739,1892.6502
-1,,20.8696,801.7391,599.1304,84.3478
-1,,527.8261,867.8261,56.5217,46.9565
-1,,29.5652,1668.6957,560,66.9565
-1,,517.3913,1721.7391,34.7826,40.8696
2,Question 2,45,1936.998,531,1029.9727
-2,,24.3281,2523.4783,607.545,82.1895
3,Question 3,22.6843,2967.6779,528.5444,1561.1098
-3,,18.1474,3388.523,552.741,72.5898
-3,,538.7445,3454.0471,23.3673,24.8588
-3,,12.0983,4258.0883,564.8393,71.8336
-3,,534.7714,4318.5589,28.9659,32.4246
4,Question 4,55.9546,4527.7113,521.7391,1738.3743
-4,,41,4958.1405,548,226
-4,,532.6789,5175.4593,22.2984,28.5877
-4,,46.1169,5981.6314,542.0221,60.6058
-4,,526.3896,6031.3739,32.0182,32.5899
