Index,Name,PosX,PosY,Width,Height,Tags
1,Theorie,65.4365,193.1174,470.8235,150.5571,
2,Question 1,67.0325,367.6147,470.8235,152.1531,
3,Question 2,64.3725,543.7081,473.4835,61.1805,
4,Question 3,65.9685,625.6367,470.2915,86.7166,
5,Question 4,67.0325,944.8391,470.2915,125.5529,
6,Question 5,66.5005,1094.3322,477.7396,76.0766,
