Index,Name,PosX,PosY,Width,Height,Tags
1,Question 1,38.5633,220.794,514.1777,169.3762,systeme_eq
2,Question 2,44.6125,408.3176,514.1777,316.8242,probleme
3,Question 3,48.3932,955.7656,507.3724,162.5709,etude_fonction
4,Question 4,44.6125,1150.8507,508.1285,263.8941,etude_fonction graphique
5,Question 5,40.8318,1447.259,511.1531,135.3497,eq_exponentiel eq_log
6,Question 6,44.6125,1820.794,524.7637,399.2439,probabilites
7,Question 7,43.1002,2237.0529,519.4707,260.8696,probabilites lettres cartes
