Index,Name,PosX,PosY,Width,Height,Tags
1,Question 1,41.5109,180.8188,515.0171,303.9445,
2,Question 2,41.5109,501.6492,500.9456,228.662,
3,Question 3,36.5859,1069.4344,510.7956,300.4266,
