Index,Name,PosX,PosY,Width,Height,Tags
1,Theorie,66.0749,178.6469,376.8716,40.3791,
2,Question 1,64.8513,228.8149,483.9374,1375.9485,
-2,,52.6152,729.2711,505.3506,208.6254,
3,Question 2,69.7457,1796.87,480.8784,294.8898,
4,Question 3,65.4631,2105.8313,485.161,263.6878,
5,Question 4,69.1339,2661.9617,480.2666,286.9363,
6,Question 5,66.6867,2976.4292,483.3256,800.8522,
-6,,57.5096,3177.7129,521.2575,345.6696,
7,Question 6,66.0749,3789.5175,483.9374,393.3903,
8,Question 7,66.0749,4386.027,480.8784,436.8285,
