Index,Name,PosX,PosY,Width,Height
1,Question 1,53.9163,199.2274,408.3176,1083.5868
-1,,31.5608,668.0365,483.2744,263.0065
2,Question 2,59.834,1311.0874,405.03,1919.9474
-2,,41.4235,1595.7919,517.4653,199.2274
-2,,28.2732,2429.5225,465.5215,224.8706
3,Question 3,53.9163,3515.0818,371.4967,999.4247
-3,,39.451,4208.7614,422.7829,168.3242
4,Question 4,57.2039,4528.3143,339.9359,989.5619
-4,,38.1359,5065.5051,397.7973,179.5019
5,Question 5,61.8065,5531.0265,337.9633,900.7972
-5,,35.5059,5941.9742,403.0575,159.7764
6,Question 6,55.2314,6446.2891,360.3189,1220.0416
-6,,30.9033,6773.4237,431.9882,191.3372
