Index,Name,PosX,PosY,Width,Height
1,Question 1,58.5189,158.4614,478.6718,149.9137
2,Question 2,54.5738,311.0052,478.0143,219.6104
3,Question 3,46.0261,532.8274,483.2744,237.3634
